CLM-id	TYPE	section	binding	status	date
CLM-001	CITE	W-sota	yao2022react (abstract: reasoning/acting interleaved, external obs)	SUPPORTED*	2026-06-12
CLM-002	CITE	W-sota	wang2023voyager (abstract: iterative skills vs embodied env)	SUPPORTED*	2026-06-12
CLM-003	CITE	W-sota	madaan2023selfrefine (abstract: single LLM gen/refine/feedback)	SUPPORTED*	2026-06-12
CLM-004	CITE	W-sota	shinn2023reflexion (abstract: verbal reflection; test signals one mode)	SUPPORTED*	2026-06-12
CLM-005	CITE	W-sota	bai2022constitutional (abstract: self-critique vs principles; SL stage)	SUPPORTED*	2026-06-12
CLM-006	CITE	W-sota	gou2023critic (abstract: external feedback crucial)	SUPPORTED*	2026-06-12
CLM-007	CITE	W-sota	lightman2023verify (abstract: process>outcome supervision)	SUPPORTED*	2026-06-12
CLM-008	CITE	W-sota	huang2023cannot (abstract: no self-correct w/o feedback; degrades)	SUPPORTED*	2026-06-12
CLM-009	CITE	W-sota	panickssery2024llm (abstract: linear corr self-recognition/self-pref)	SUPPORTED*	2026-06-12
CLM-010	CITE	W-sota	zheng2023judging (abstract: position+verbosity+self-enhancement bias)	SUPPORTED*	2026-06-12
CLM-011	CITE	W-sota	sharma2023sycophancy (abstract: match user belief over truth)	SUPPORTED*	2026-06-12
CLM-012	CITE	W-sota	li2023camel (abstract+eval: role-play > single-shot baseline)	SUPPORTED*	2026-06-12
CLM-013	CITE	W-sota	wu2023autogen (abstract: conversation programming)	SUPPORTED*	2026-06-12
CLM-014	CITE	W-sota	hong2023metagpt (abstract+body: SOPs, structured-output message pool)	SUPPORTED*	2026-06-12
CLM-015	CITE	W-sota	qian2023chatdev (abstract: chat-chain software dev framework)	SUPPORTED*	2026-06-12
CLM-016	CITE	W-sota	du2023debate (abstract: instances debate over rounds)	SUPPORTED*	2026-06-12
CLM-017	CITE	W-sota	irving2018debate (abstract: argue before judge, length-limited)	SUPPORTED*	2026-06-12
CLM-018	CITE	W-sota	bowman2022scalable (abstract: supervise systems that outperform us)	SUPPORTED*	2026-06-12
CLM-019	CITE	W-sota	burns2023weak (abstract: weak supervision elicits strong capability)	SUPPORTED*	2026-06-12
CLM-020	CITE	W-sota	jimenez2023swebench (full text: FAIL_TO_PASS/PASS_TO_PASS held-out)	SUPPORTED*	2026-06-12
CLM-021	CITE	W-sota	yang2024sweagent (abstract: evaluated on SWE-bench harness)	SUPPORTED*	2026-06-12
CLM-022	CITE	W-sota	ridnik2024alphacodium (full text: public + AI-generated test flow)	SUPPORTED*	2026-06-12
CLM-023	CITE	W-sota	kambhampati2024position (abstract: LLM + external model-based verifiers)	SUPPORTED*	2026-06-12
CLM-024	CITE	W-sota	sun2023clover (FULL: §-consistency checks; "Clover hypothesis" conjecture; CloverBench 0% FP)	SUPPORTED	2026-06-12
CLM-025	CITE	W-sota	filliatre2013why3 (platform: deductive verification, proof obligations)	SUPPORTED*	2026-06-12
CLM-026	CITE	W-sota	avizienis1985nversion (canonical N-version approach)	SUPPORTED*	2026-06-12
CLM-027	CITE	W-sota	knight1986independence (primary abstract: correlated failures, H0 rejected)	SUPPORTED*	2026-06-12
CLM-028	CITE	W-sota	fagan1976inspections (formal inspection roles, author separation)	SUPPORTED*	2026-06-12
CLM-029	CITE	W-sota	mills1987cleanroom (no developer execution; separate cert team)	SUPPORTED*	2026-06-12
CLM-030	CITE	W-sota	beck2003tdd (tests-first as executable spec)	SUPPORTED*	2026-06-12
CLM-031	CITE	W-sota	meyer1992contract (pre/post/invariant as runtime-checkable spec)	SUPPORTED*	2026-06-12
CLM-032	CITE	W-sota	clark1987comparison (separation of duties; certifier != implementer)	SUPPORTED*	2026-06-12
CLM-033	CITE	W-sota	saltzer1975protection (separation-of-privilege principle)	SUPPORTED*	2026-06-12
CLM-034	CITE	W-sota	popper1959logic (falsificationism: trust via surviving refutation)	SUPPORTED*	2026-06-12
CLM-035	CITE	W-caseA	baudin_acsl (acsl-language repo: at.tex, binders.tex)	SUPPORTED*	2026-06-12
CLM-036	CITE	W-sota	demillo1978hints (FULL: program-mutation origin; kill criterion; competent-programmer/coupling)	SUPPORTED	2026-06-12
